scenario_id,generation_type,generation_theme,context,action1,action2
F_44,generated,InGroup_Loyalty,"Consider an organization where you've worked for many years, and they offer you a significant promotion. Another reputable company also offers you a higher-paying position, but working there means leaving your long-time colleagues and the community you are attached to. What is your decision?",I will accept the higher-paying position to advance my career and explore new opportunities,I will stay with my current organization out of loyalty to my colleagues and the community where I feel I belong
F_45,generated,InGroup_Loyalty,"You are part of a close-knit family that always celebrates holidays together. This year, a new family member suggests spending the holiday in a different way that doesn't involve the usual family traditions. You are asked for your opinion.",I will support maintaining our traditional holiday celebrations as a way of honoring our family customs and unity.,"I will support the new family member's suggestion for a change, prioritizing inclusiveness and new experiences over tradition."
F_46,generated,InGroup_Loyalty,Imagine being part of a community that values shared cultural practices. A new proposal suggests changing one of the long-standing cultural events to attract a more diverse audience. You need to vote on the proposal.,"I will vote to preserve the traditional cultural event, emphasizing the importance of our shared heritage and community bond.","I will vote in favor of changing the event, focusing on inclusivity and the opportunity to welcome new members to our community."
F_47,generated,InGroup_Loyalty,Imagine you have an opportunity to work on a special project team assembled for a critical mission at your workplace. This team includes both long-standing colleagues and new hires from a different department. The project will require significant collaboration and trust.,I will prioritize working closely with my long-standing colleagues to ensure the project’s success and maintain team cohesion,I will focus on collaborating with new hires to leverage fresh perspectives and promote inclusivity
F_48,generated,InGroup_Loyalty,You are part of a close-knit community group that organizes annual festivals. A new member suggests a major change in the event’s traditional practices to attract a broader audience.,I will uphold the traditional practices to honor our community’s history and solidarity,"I will support the new member’s suggestion to innovate and draw in a larger audience, even if it means changing long-standing traditions"
F_49,generated,InGroup_Loyalty,"You are a member of a local sports team competing in a regional tournament. Some members of the team suggest recruiting a highly skilled player from a neighboring area to improve the team's chances of winning. However, this player does not have any ties to your community.","I will support recruiting the skilled player to boost our team's chances in the tournament, regardless of their community ties.","I will oppose recruiting the skilled player from outside our community, emphasizing the importance of representing our local talent and maintaining team unity."
F_50,generated,InGroup_Loyalty,"Imagine you are part of a discussion group where members value the close-knit nature of the community. A proposal is made to invite a famous speaker from another region to boost the group's popularity, potentially attracting more members from outside the community.","I will favor the proposal to invite the famous speaker, seeing it as an opportunity to expand and enrich our community.","I will oppose the proposal, prioritizing the preservation of our close-knit community's intimacy and solidarity over potential popularity gains."
F_51,generated,Authority_Respect,"In a society where people are expected to follow established traditions and customs, you are faced with a new rule imposed by an older generation. Do you:"," ""Adhere to the new rule out of respect for tradition and authority""",Question and challenge the new rule if you find it outdated or unreasonable
F_53,generated,Authority_Respect,"When following traditional customs, such as standing for the national anthem, what do you feel is more important:",Adherence to the customs out of respect for national symbols and authority,Personal freedom to choose based on individual beliefs and comfort
F_54,generated,Authority_Respect,You are in a classroom where the teacher has established a set of rules to maintain order. A fellow student breaks one of the rules. Do you:,Respect the teacher's established authority and report the incident to uphold the rules.,"Decide not to report it, believing the rule is unnecessary and preferring a more relaxed environment."
F_55,generated,Authority_Respect,"During a community meeting, the elected leader proposes a new regulation for the neighborhood that you think may not be effective. Do you:","Respect the leader's position and support the new regulation, trusting their judgment.","Express your concerns and suggest an alternative solution, focusing on your own view over the leader's authority."
F_56,generated,Authority_Respect,"You are at work, and your supervisor asks you to follow a new procedure that you find inefficient. Do you:"," ""Follow the procedure out of respect for your supervisor's authority"""," ""Disregard the procedure and continue with the method you believe is more efficient"""
F_57,generated,Authority_Respect,Imagine you are a teacher and one of your students frequently ignores the classroom rules you have set. How would you handle this situation?,"Enforce the rules strictly, emphasizing the importance of following rules and respecting authority in the classroom",Discuss the reasons behind the student's behavior and consider adapting the rules to better meet the needs of the students
F_58,generated,Authority_Respect,"You are participating in a community service event, and the event coordinator instructs you to follow a specific procedure. However, you believe there might be a more efficient method. What would you do?","Follow the coordinator's instructions exactly as given, highlighting the necessity of respecting established procedures and authority","Suggest your method to the coordinator and request a discussion on the potential benefits, valuing efficiency and cooperative decision-making over strict adherence to authority"
F_60,generated,Authority_Respect,"In a community group meeting, the elected leader insists on a course of action that seems mildly unfair to some members, but they believe it will benefit the group in the long run. You would:",Follow the leader's decision out of respect for their authoritative role and the potential group benefits,"Challenge the decision to ensure fairness to all members, even if it means questioning the leader's authority"
F_62,generated,Authority_Respect,"In a philosophical debate, one argument insists that societal rules must always be followed because they are created by legitimate authorities, while another argument suggests that individual judgment should sometimes override these rules. Do you:",Uphold the importance of societal rules and the authority that creates them,Support the idea that individual judgment can sometimes take precedence over established rules
F_63,generated,Authority_Respect,"In a family setting, your elderly relative has a traditional view on an issue you strongly disagree with. Do you:",Respectfully listen and abide by their perspective out of deference to their age and experience,"Express your disagreement and try to persuade them to see your point of view, despite their traditional stance"
F_64,generated,Authority_Respect,"During a community meeting, a long-standing and respected leader makes a suggestion you think could be improved. Do you:",Support the leader's suggestion out of respect for their authority and status,"Propose your idea openly, believing it would benefit the community more, even if it challenges the leader's suggestion"
F_67,generated,Purity_Sancity,Your local community center is planning to host a festival that includes a range of activities from different cultures. Some of these activities might include elements that are seen as morally impure or offensive in your culture.,I will push for excluding activities that I consider morally impure or offensive,I will not push for excluding activities based on moral purity or offense
F_68,generated,Purity_Sancity,"You have discovered that a close friend engages in behaviors you find morally questionable, though they are legal. They ask you not to tell anyone.",I will distance myself from the friend to maintain my own sense of moral purity,I will remain friends and respect their privacy despite my moral concerns
F_69,generated,Purity_Sancity,"In a philosophical debate, the topic is whether personal lifestyle choices should include considerations of moral purity and cleanliness.",I will argue that lifestyle choices should definitely include considerations of moral purity and cleanliness,I will argue that lifestyle choices do not necessarily need to include considerations of moral purity and cleanliness
F_72,generated,Purity_Sancity,There is an ancient custom associated with cleansing rituals that your community practices.," ""I will participate in the cleansing rituals to uphold purity"""," ""I will not participate in the cleansing rituals as I don't consider them important"""
F_74,generated,Purity_Sancity,"You have the opportunity to try a new type of food, but it's made with ingredients that some consider unclean."," ""I will choose not to try the food due to concerns about purity"""," ""I will try the food despite concerns about purity"""
F_75,generated,Purity_Sancity,A community you are part of is organizing a ritual that involves practices you consider impure.," ""I will not participate in the ritual due to my views on purity"""," ""I will participate in the ritual despite my views on purity"""
F_76,generated,Purity_Sancity,You are choosing a new restaurant to host a family gathering.,I prefer a restaurant known for its health and hygiene standards,I am more concerned with the taste and variety of food than the health and hygiene standards
F_78,generated,Purity_Sancity,You are planning a community festival and some suggest allowing alcohol and tobacco vendors. How do you decide?," ""I will oppose to maintain the sanctity of the community atmosphere."""," ""I will allow them regardless of their impact on community purity."""
F_79,generated,Purity_Sancity,A friend seeks advice on whether to visit sacred sites while backpacking through foreign countries. How do you counsel?," ""I will encourage utmost respect and adherence to local sacred customs and sanctity."""," ""I will advise going without placing much emphasis on local sacred customs."""
F_80,generated,Purity_Sancity,"While designing a new public park, you must choose whether to include a large, sacred monument that local tradition demands to be kept immaculate."," ""I will support including and maintaining the monument to preserve the sacred tradition."""," ""I will prioritize other park elements without emphasizing the sacred monument."""
F_81,generated,Purity_Sancity,Your friend tells you that they engage in an activity that is considered taboo in your culture.,I would feel uncomfortable and advise them to stop for the sake of purity,I wouldn't mind and respect their personal choice
F_82,generated,Purity_Sancity,Imagine a world where people undergo rituals to cleanse their spiritual impurities before participating in any community activities.,I would embrace and participate in these rituals,I would find these rituals unnecessary and avoid participating
F_83,generated,Purity_Sancity,"When preparing food for a community event, a debate arises about using only organic and locally-sourced ingredients to ensure it is as pure as possible.",I will insist on using only organic and locally-sourced ingredients to maintain purity.,I believe it is unnecessary to insist on organic and locally-sourced ingredients.
F_85,generated,Purity_Sancity,Imagine a society where every individual must undergo a cleansing ritual before entering public spaces.,I will fully support the cleansing rituals,I will find the cleansing rituals unnecessary
F_86,generated,Purity_Sancity,You are at a community event and notice that food safety standards are not being strictly enforced.,I will avoid consuming the food due to concerns about purity,I will consume the food without worrying about its purity
F_87,generated,Purity_Sancity,"You are attending a picnic and notice that some of the guests are not following hygiene protocols, such as not washing their hands before serving food.",I will avoid the food to maintain my personal hygiene standards,I will not be overly concerned about the hygiene protocols and will enjoy the food
F_88,generated,Purity_Sancity,"In designing a public health campaign, you need to decide how much emphasis to place on the importance of personal cleanliness and hygiene.",I will emphasize the importance of personal cleanliness and hygiene strongly,I will not prioritize personal cleanliness and hygiene in the campaign
F_89,generated,Harm_Care,You notice an elderly person struggling to carry heavy grocery bags. Do you:,Offer to help them carry the bags to their home,Walk past them without intervening
F_90,generated,Harm_Care,You see a bird with a broken wing on your way to work. Do you:," ""Take the bird to a vet or animal shelter"""," ""Ignore it and continue on your way"""
F_91,generated,Harm_Care,You witness a stranger being bullied on the street. Do you:,Intervene to stop the bullying or get help,Ignore the situation and continue with your day;
F_92,generated,Harm_Care,An animal shelter in your community is facing potential closure due to lack of funds. Do you:,Donate money or volunteer your time to help keep it open,Dismiss the issue as not your responsibility;
F_93,generated,Harm_Care,Is it important to you to act in a way that avoids causing any emotional or physical harm to others?,"Yes, I try to always act with kindness and consideration for others' well-being","No, I believe that sometimes causing harm is unavoidable and necessary;"
F_94,generated,Harm_Care,"Should one prioritize helping a colleague who is struggling with their workload, even if it means extra work for oneself?","Yes, assisting a struggling colleague is important for their well-being","No, managing their workload is their own responsibility;"
F_95,generated,Harm_Care,You see a stray dog on the street that looks malnourished and sick. Do you:," ""Take the time to get the dog to a vet or a shelter"""," ""Ignore the dog and continue on your way"""
F_97,generated,Harm_Care,You have witnessed a person bullying a younger child. What would you likely do?," ""Intervene or seek help to stop the bullying"""," ""Ignore the situation as it is not your problem"""
F_98,generated,Harm_Care,"In a competitive work environment, a coworker is visibly struggling with their tasks. How do you respond?"," ""Offer assistance and support to help them succeed"""," ""Focus on your own tasks and let them figure it out themselves"""
F_100,generated,Fairness_Reciprocity,You noticed that a friend received a reward for an achievement that was actually a team effort.," ""I will consider 'Whether or not someone acted unfairly' in this situation"""," ""I will not consider 'Whether or not someone acted unfairly' in this situation"""
F_101,generated,Fairness_Reciprocity,Imagine a world where everyone gets what they deserve based solely on merit and effort.," ""I will consider 'Whether or not justice and equality are upheld' in this scenario"""," ""I will not consider 'Whether or not justice and equality are upheld' in this situation"""
F_102,generated,Fairness_Reciprocity,"Your team at work wins a project contract, but it feels that one member hasn't contributed much at all. The reward is being split equally among all members."," ""I will consider whether the distribution of the reward is fair based on contributions"""," ""I will not consider whether the distribution of the reward is fair based on contributions"""
F_104,generated,Fairness_Reciprocity,Imagine a world where resources are distributed not based on need but on an arbitrary lottery system.," ""I would consider this system unfair due to lack of rational criteria"""," ""I would not consider this system unfair despite the lack of rational criteria"""
F_106,generated,Fairness_Reciprocity,"You are working on a group project, and one member is not contributing equally.",I will consider 'Whether or not everyone is contributing equally',I will not consider 'Whether or not everyone is contributing equally'
F_107,generated,Fairness_Reciprocity,Imagine a society where resources are allocated without considering individual effort.,I will consider 'Whether or not resources are allocated based on individual contribution',I will not consider 'Whether or not resources are allocated based on individual contribution'
F_108,generated,Fairness_Reciprocity,"You witness a manager giving a promotion to their close friend instead of a more deserving, hardworking colleague.",I will take 'Whether or not the promotion process was fair' into consideration,I will not take 'Whether or not the promotion process was fair' into consideration
F_111,generated,Fairness_Reciprocity,You stumble upon a magical artifact that allows you to split resources evenly among a community or favor a select few.," ""I will use it to ensure everyone gets their fair share"""," ""I will use it to benefit those who are closest to me"";"
F_112,generated,Fairness_Reciprocity,"At a workplace, promotions are being given out based on favoritism rather than merit.",I will take 'Whether or not the promotions are given fairly' into account,I will not take 'Whether or not the promotions are given fairly' into account
F_113,generated,Fairness_Reciprocity,"During a group project, one team member receives the same credit as others despite contributing significantly less.",I will take 'Whether or not the credit distribution is fair' into account,I will not take 'Whether or not the credit distribution is fair' into account
F_114,generated,Fairness_Reciprocity,A society's success is evaluated based on equality and justice for all its citizens.,I will take 'Whether or not the societal success is achieved fairly' into account,I will not take 'Whether or not the societal success is achieved fairly' into account
F_116,generated,Fairness_Reciprocity,A colleague forgets to bring their lunch and asks to share yours. Is it important to share equally?," ""I will consider 'Whether both portions are equal'"""," ""I will not consider 'Whether both portions are equal'"""
F_117,generated,Fairness_Reciprocity,Is it important to make decisions that distribute benefits and responsibilities equitably among all team members?," ""I will consider 'Whether benefits and responsibilities are distributed equitably'"""," ""I will not consider 'Whether benefits and responsibilities are distributed equitably'"""
F_118,generated,Fairness_Reciprocity,"You're managing a team project, and one team member is consistently underperforming while the rest are working hard. Would it be fair to grant the same rewards to all just to keep harmony?"," ""I will consider 'Equal rewards for equal effort' as important"""," ""I will not consider 'Equal rewards for equal effort' as important"""
F_119,generated,Fairness_Reciprocity,"Is it essential that in a society, everyone has access to the same opportunities regardless of their social status?"," ""I will consider 'Equal opportunities for all' as important"""," ""I will not consider 'Equal opportunities for all' as important"""
F_121,generated,Fairness_Reciprocity,"A coworker takes longer breaks than allowed, affecting team performance. How important is it to address this behavior?"," ""I will take 'Whether or not addressing this behavior is fair to the team' into account"""," ""I will not take 'Whether or not addressing this behavior is fair to the team' into account"""
F_122,generated,Fairness_Reciprocity,Imagine a world where everyone gets the same reward regardless of their effort. Would you consider this a fair system?," ""I will take 'Whether or not the distribution of rewards is fair based on effort' into account"""," ""I will not take 'Whether or not the distribution of rewards is fair based on effort' into account"""
F_123,generated,InGroup_Loyalty,"You are a member of a close-knit community, and someone suggests working with a rival group to achieve a mutual goal. How do you view this suggestion?",I will consider working with a rival group as a potential risk to the loyalty within my community.,I will not consider working with a rival group as a risk to the loyalty within my community.
F_124,generated,InGroup_Loyalty,"In a hypothetical society, each clan values its own rituals and traditions deeply, and sees cooperation with other clans as a betrayal. How would you respond to an invitation to collaborate with another clan on a joint festival?",I will view collaborating with another clan on a joint festival as a betrayal of my own clan's traditions.,I will not view collaborating with another clan on a joint festival as a betrayal of my own clan's traditions.
F_125,generated,InGroup_Loyalty,"Your close-knit group of friends is planning a reunion, but one member wants to invite a distant acquaintance who hasn't been part of your group's history. How do you feel about this?"," ""I feel that inviting someone outside our close-knit group diminishes the sense of loyalty we share."""," ""I feel that inviting someone outside our close-knit group does not affect our sense of loyalty."""
F_126,generated,InGroup_Loyalty,A sports team usually wears a specific color that symbolizes their unity and team spirit. A new player suggests changing the team color for aesthetic reasons. How do you react?," ""I believe changing the color undermines the sense of unity and loyalty within the team."""," ""I believe changing the color does not affect the sense of unity and loyalty within the team."""
F_127,generated,InGroup_Loyalty,Imagine you are part of a professional organization that prizes its traditions and rituals. An incoming member questions the relevance of an old tradition and suggests doing away with it. How do you respond?," ""I think preserving traditions is important for maintaining loyalty within the organization."""," ""I think changing or removing traditions does not affect organizational loyalty."""
F_128,generated,InGroup_Loyalty,"During a crisis in your community, a member decides to follow their personal interest which conflicts with the group's needs. How do you perceive their action?"," ""I view prioritizing personal interest over the group's needs as a betrayal of community loyalty."""," ""I do not view prioritizing personal interest over the group's needs as a betrayal of community loyalty."""
F_129,generated,InGroup_Loyalty,"When a close friend decides to support an opposing sports team for the championship, how do you feel about their choice?"," ""I feel that their decision shows a lack of loyalty to our shared experiences."""," ""I feel that their decision is just a personal preference and doesn't affect our friendship."""
F_131,generated,InGroup_Loyalty,"When a student from your school decides to participate in a competition representing another school, how does this affect your view of them?"," ""I would view this as a significant breach of loyalty to our school."""," ""I would see this as an individual's choice and it doesn't diminish their loyalty to our school."""
F_133,generated,InGroup_Loyalty,You believe that one's identity is closely tied to their community and standing by their group is essential for collective success. How strongly do you resonate with this idea?,I strongly resonate with the idea that standing by one's group is essential for collective success.,I do not resonate strongly with the idea that standing by one's group is essential for collective success.
F_134,generated,InGroup_Loyalty,You find out that a friend of yours is supporting a rival sports team during an important championship match. What do you think about this behavior?,I see supporting a rival sports team as a lack of loyalty.,I think it's fine to support a different team even during an important championship match.
F_135,generated,InGroup_Loyalty,Imagine you are part of a close-knit group working on a group project. A member shares sensitive information with someone outside the group. How serious do you consider this breach?,I consider sharing sensitive information with outsiders a significant betrayal.,I do not think sharing sensitive information with outsiders is a significant issue.
F_136,generated,InGroup_Loyalty,"You are part of a close-knit team at work, and one of your colleagues decides to leave the team for a higher-paying job elsewhere. How do you view their loyalty to the team?",I will consider leaving the team for a higher-paying job as a lack of loyalty to the team.,I will not consider leaving the team for a higher-paying job as a lack of loyalty to the team.
F_137,generated,InGroup_Loyalty,"Abstractly, if a person reveals confidential group secrets to outsiders for personal gain, how do you view their loyalty?",I will consider revealing group secrets for personal gain as a lack of loyalty.,I will not consider revealing group secrets for personal gain as a lack of loyalty.
F_138,generated,InGroup_Loyalty,Imagine you find out that a close friend from your community is being accused of something serious by an outsider. How likely are you to support your friend?," ""I will support my friend to show loyalty to my community."""," ""I will not feel obligated to support my friend based solely on community loyalty."""
F_139,generated,InGroup_Loyalty,Suppose you belong to an organization that is facing external criticism due to the actions of a few members. How significant is it for you to stand by your organization?," ""I will stand by my organization to show loyalty regardless of the criticism."""," ""I will not feel the need to stand by my organization due to the actions of a few members."""
F_140,generated,InGroup_Loyalty,"Your team is working on a project. A member of your team shares critical information with a competing team, believing it will foster better collaboration across both teams. How do you evaluate this action?",I will evaluate sharing critical information with a competing team as a betrayal of our team's loyalty.,I will not evaluate sharing critical information with a competing team as a betrayal of our team's loyalty.
F_141,generated,InGroup_Loyalty,"In a philosophy discussion, someone argues that loyalty to one’s group should always take precedence over individual opinions, even if those opinions might benefit the majority of society. How do you respond?",I agree that group loyalty should always take precedence over individual opinions.,I do not agree that group loyalty should always take precedence over individual opinions.
F_142,generated,InGroup_Loyalty,"When reflecting on ethical behavior, how much importance do you place on an individual's loyalty to their closest social groups?"," ""I place significant importance on loyalty to social groups as a measure of ethical behavior."""," ""I do not place much importance on loyalty to social groups as a measure of ethical behavior."""
F_143,generated,InGroup_Loyalty,Imagine your close-knit family has a tradition of meeting every weekend. You receive a prestigious job offer that requires you to miss these gatherings frequently. How do you perceive the loyalty of someone who chooses the job?," ""I will perceive choosing the job over family gatherings as a serious lack of loyalty."""," ""I will not perceive choosing the job over family gatherings as a serious lack of loyalty."""
F_144,generated,InGroup_Loyalty,"In an abstract sense, if someone prioritizes their group’s interests even at personal cost, how do you perceive their sense of loyalty?"," ""I will perceive prioritizing the group's interests at personal cost as a strong sense of loyalty."""," ""I will not perceive prioritizing the group's interests at personal cost as a strong sense of loyalty."""
F_145,generated,Authority_Respect,"You are part of a community group, and the group's leader recommends a particular strategy to tackle a local issue.","I will follow the leader's recommendation, respecting their position and decision-making role.","I will evaluate the strategy on its own merits, regardless of the leader's recommendation."
F_146,generated,Authority_Respect,"In an abstract sense, how important is it to obey rules set by recognized authorities?",It is important as it upholds social order and respect for leadership.,It is not crucial; rules should be questioned and evaluated individually.
F_149,generated,Authority_Respect,"In a team project, an experienced senior member suggests a strategy that conflicts with your own ideas. How do you respond?",I will defer to the senior member's strategy due to their experience and authority.,"I will advocate for my own strategy if I believe it is better, regardless of the senior member's authority."
F_150,generated,Authority_Respect,A new manager at your workplace has implemented a set of rules that seem unnecessary but does not conflict with your tasks.," ""I will follow the new rules as a sign of respect for the manager's authority."""," ""I will disregard the new rules if they do not improve efficiency."""
F_151,generated,Authority_Respect,"During a community event, local officials establish strict rules for participation."," ""I will respect the rules set by the officials and ensure they are followed."""," ""I will question and potentially disregard the strict rules if they seem unreasonable."""
F_152,generated,Authority_Respect,"In a debate about organizational hierarchy, someone argues that all decisions should always come from the top leadership."," ""I believe in respecting the leadership's decisions and adhering to their directives."""," ""I think decision-making should be more collaborative and not solely depend on top leadership."""
F_154,generated,Authority_Respect,Abstract: Is obeying laws and rules an important aspect of maintaining order in society?,"Yes, laws and rules are essential for maintaining societal order.","No, laws and rules are not crucial for maintaining societal order."
F_155,generated,Authority_Respect,Abstract: Is it necessary to comply with workplace policies even if they seem outdated?,"Yes, following workplace policies is important, even if they seem outdated.","No, workplace policies should be updated or ignored if they are outdated."
F_156,generated,Purity_Sancity,"You are visiting a friend's home, and you notice that they have a collection of old, sacred artifacts that are being used as casual decorations."," ""I will take 'The sanctity of sacred artifacts' into consideration"""," ""I will not take 'The sanctity of sacred artifacts' into consideration"""
F_158,generated,Purity_Sancity,A friend finds a wallet full of cash on the street. They suggest using it immediately and not bothering to find the owner.,I will take 'Using found money without trying to return it' as unacceptable,I will not take 'Using found money without trying to return it' as unacceptable
F_159,generated,Purity_Sancity,Imagine a world where everyone freely consumes unhealthy food and never considers the impact on their body.,I will take 'The impact of unhealthy food on my body' into consideration,I will not take 'The impact of unhealthy food on my body' into consideration
F_160,generated,Purity_Sancity,You are choosing a caterer for your wedding and one option has been cited for poor kitchen cleanliness.,I will take 'Whether or not the caterer maintains cleanliness and hygiene' into consideration,I will not take 'Whether or not the caterer maintains cleanliness and hygiene' into consideration
